cName,PCON11CD,country,region,leave,FishandChipShopsandRestaurants,totalRestaurants,house,salary,publicsector,degree,age,nonukborn,health
Mid Sussex,E14000817,England,South East,0.466889815,245,2249,250000,580.8,17.3,33.5,34,10.2,85.9
East Ham,E14000679,England,London,0.469154263,59,1245,230000,537.4,26,29.8,44,55.5,83.1
Lewes,E14000786,England,South East,0.469681005,398,3249,245000,569.6,20.9,31.4,30,7.1,80.5
Harrogate and Knaresborough,E14000730,England,Yorkshire and The Humber,0.472193662,223,1482,210000,488.4,18.9,34.7,47,9.6,84.1
West Ham,E14001032,England,London,0.473757411,90,2091,230000,500.6,24.5,30.5,32,52,83
Leeds Central,E14000777,England,Yorkshire and The Humber,0.474258377,410,3750,93000,425.5,21.5,21.9,41,21.3,81.5
Westmorland and Lonsdale,E14001037,England,North West,0.474507406,157,1098,206000,475.8,14.8,33.3,41,5.2,82.2
Beckenham,E14000551,England,London,0.483817049,177,1499,330000,759.5,12.9,35.5,31,13.2,85.7
Newbury,E14000830,England,South East,0.475103764,165,2806,249950,568.5,17.4,32.5,32,9.1,86
Mole Valley,E14000824,England,South East,0.475853783,386,3996,390000,687.9,10.1,38.5,36,10.1,85.6
Reigate,E14000893,England,South East,0.477943515,295,2485,285000,724.7,19.9,36.1,41,12.5,85.6
The Cotswolds,E14000991,England,South West,0.477969054,389,3917,270000,506.9,10.4,34.4,39,6.8,83.7
Tynemouth,E14001006,England,North East,0.478410091,343,1728,163000,524.4,24.2,30.6,40,4,79.4
Monmouth,W07000054,Wales,Wales,0.478450301,657,3120,185000,558.1,29.3,33.9,43,4.6,79.4
Garston and Halewood,E14000708,England,North West,0.478778455,485,2750,134995,494.3,13.2,22,33,5.1,76.7
Enfield North,E14000691,England,London,0.492154426,247,2000,249995,568.2,26.7,25.9,36,27.2,82
Epsom and Ewell,E14000694,England,South East,0.479621735,243,2250,350000,636.1,17.2,36.4,43,14.5,86
North Somerset,E14000850,England,South West,0.479673916,278,2997,225000,585.7,14.4,34,35,5.1,83.8
Filton and Bradley Stoke,E14000702,England,South West,0.479785958,329,2739,190000,600.4,22.3,29.6,42,10.3,84.7
Wycombe,E14001056,England,South East,0.480431531,190,2491,247750,576.8,11.7,31.4,43,19,85.7
Angus,S14000004,Scotland,Scotland,0.481327687,200,1330,NA,448.5,27.5,21,32,4.7,83.4
Stockport,E14000969,England,North West,0.467893218,397,2245,135000,514.4,15.4,27.3,42,7.9,79.9
Macclesfield,E14000802,England,North West,0.481571306,270,1747,175000,562.4,19.5,35,32,5.2,82.5
Edmonton,E14000687,England,London,0.455096172,205,2249,229998,508.5,28.4,22.3,33,43,80.5
Pudsey,E14000886,England,Yorkshire and The Humber,0.48352715,563,2746,167000,545.9,15.1,32.4,45,5.4,83.6
Dwyfor Meirionnydd,W07000061,Wales,Wales,0.483668999,213,1080,145000,389.2,22.3,25,42,2.9,79.4
Newcastle upon Tyne Central,E14000831,England,North East,0.483744978,202,1729,124500,477.4,25.7,26.6,31,21.6,79.1
Stretford and Urmston,E14000979,England,North West,0.484676854,241,2000,152500,527.8,12,25.5,42,13.2,79.9
Shipley,E14000925,England,Yorkshire and The Humber,0.522113445,691,3447,148250,521.9,23.3,31.7,44,5.9,82.8
Buckingham,E14000608,England,South East,0.486547127,497,6083,274995,646.2,9.1,35.7,47,7.3,86
Horsham,E14000753,England,South East,0.4866966,196,2181,282500,611.6,12.3,32.2,42,8.8,86.1
East Hampshire,E14000680,England,South East,0.487294201,295,2914,276000,550.9,11.2,34.1,40,8.9,85.3
